# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Wed, 22 Sep 2021 03:05:09 +0200
#
# IP	number of (black)lists
#
141.98.10.179	11
199.195.252.247	10
107.189.3.160	10
107.189.8.8	10
45.133.1.14	10
104.248.193.49	10
117.248.249.70	10
141.98.10.125	10
60.170.247.162	10
209.141.32.151	10
222.187.254.41	10
206.189.104.122	10
222.187.232.39	10
209.141.55.232	10
222.187.232.60	10
209.141.59.252	9
209.141.46.14	9
209.141.57.50	9
205.185.127.100	9
209.141.32.215	9
209.141.54.139	9
198.98.58.250	9
199.195.254.38	9
205.185.116.145	9
171.25.193.77	9
198.98.52.69	9
221.131.165.40	9
60.8.87.190	9
209.141.53.166	9
45.133.1.12	9
209.141.45.121	9
45.61.184.15	9
209.141.33.34	9
202.29.214.13	9
221.181.185.94	9
209.141.51.68	9
107.189.13.122	9
141.98.10.121	9
198.98.50.192	9
107.189.31.248	9
179.43.141.99	9
199.19.226.34	9
209.141.58.77	9
199.195.248.37	9
222.187.227.122	9
198.98.51.254	9
221.131.165.33	9
209.141.55.247	9
205.185.125.45	9
8.209.91.186	9
64.113.32.29	9
222.168.30.19	9
209.141.62.151	9
205.185.114.54	9
105.203.195.68	9
209.141.42.151	9
45.153.160.133	9
205.185.113.236	9
205.185.123.199	9
209.141.34.36	9
185.31.175.226	8
185.31.175.220	8
162.247.74.202	8
5.183.209.217	8
89.234.157.254	8
107.189.4.119	8
178.73.215.171	8
205.185.121.160	8
205.185.124.41	8
185.107.47.215	8
209.141.54.115	8
185.238.72.164	8
209.141.51.168	8
205.185.114.141	8
205.185.126.99	8
162.247.74.206	8
171.25.193.78	8
185.220.101.4	8
103.158.147.250	8
18.27.197.252	8
209.141.58.237	8
199.19.224.30	8
205.185.119.103	8
185.220.100.253	8
134.122.56.69	8
81.161.63.253	8
185.107.70.202	8
198.96.155.3	8
176.111.173.156	8
116.98.160.162	8
209.141.58.53	8
77.247.181.165	8
209.141.45.80	8
198.98.53.184	8
209.141.37.35	8
179.43.147.67	8
185.31.175.231	8
179.43.175.26	8
176.10.99.200	8
205.185.113.185	8
185.130.44.108	8
171.25.193.25	8
209.141.47.30	8
107.189.12.48	8
213.202.216.189	8
185.220.102.254	8
80.67.172.162	8
85.95.191.186	8
199.195.250.77	8
199.19.225.102	8
185.31.175.215	8
81.161.63.100	8
185.31.175.240	8
205.185.117.33	8
209.141.52.46	8
205.185.119.155	8
209.141.52.9	8
107.189.30.134	8
176.111.173.85	7
128.31.0.13	7
148.72.245.63	7
162.247.74.200	7
196.175.251.17	7
185.31.175.228	7
89.163.249.244	7
221.181.185.198	7
222.186.30.112	7
221.181.185.19	7
91.250.242.12	7
80.82.77.33	7
185.31.175.207	7
185.220.102.244	7
185.220.102.248	7
162.247.74.74	7
61.218.209.248	7
46.101.131.186	7
5.2.69.50	7
79.120.54.174	7
185.220.103.8	7
185.107.47.171	7
185.220.101.1	7
207.249.123.185	7
45.153.160.2	7
80.82.77.139	7
104.244.77.95	7
178.20.55.18	7
178.20.55.16	7
209.141.51.60	7
222.186.42.213	7
116.98.174.159	7
209.141.36.53	7
221.181.185.140	7
222.186.42.137	7
209.127.17.242	7
192.160.102.170	7
104.244.79.215	7
185.220.100.252	7
185.220.100.255	7
185.220.100.254	7
107.189.13.161	7
133.125.33.128	7
195.224.138.61	7
91.219.237.21	7
185.31.175.252	7
5.104.110.89	7
185.90.136.69	7
185.100.87.72	7
94.230.208.147	7
164.177.78.185	7
166.70.207.2	7
185.220.102.4	7
206.189.12.197	7
182.73.123.118	7
188.126.89.134	7
77.247.181.163	7
178.62.14.181	7
205.185.121.232	7
185.100.87.129	7
95.214.52.219	7
93.174.95.106	7
24.224.178.87	7
222.186.180.130	7
185.31.175.235	7
20.197.240.21	7
162.247.74.217	7
72.167.46.67	7
222.186.42.7	7
171.25.193.20	7
176.10.104.240	7
104.248.61.192	7
195.176.3.19	7
162.247.74.7	7
185.220.102.253	7
185.220.102.252	7
209.141.51.176	7
205.185.123.106	7
221.131.165.56	7
139.59.102.241	7
36.80.48.9	7
222.186.30.76	7
104.244.76.13	7
185.56.80.65	7
209.141.48.211	7
205.185.119.54	7
89.163.252.30	7
89.163.150.213	7
221.181.185.151	7
221.181.185.159	7
150.139.204.148	7
45.153.160.138	7
149.202.238.204	7
185.220.100.243	7
185.220.100.249	7
46.101.2.225	7
80.82.70.228	7
192.42.116.25	7
192.42.116.28	7
107.189.30.211	7
185.31.175.243	7
185.31.175.247	7
162.247.74.27	7
221.181.185.135	7
209.141.59.180	7
222.186.42.13	7
163.172.213.212	7
209.141.55.51	7
45.153.160.140	7
51.254.143.96	7
213.61.215.54	7
138.197.195.123	6
85.202.80.35	6
80.241.42.214	6
180.76.124.150	6
107.170.131.23	6
89.163.252.230	6
49.232.215.196	6
45.240.88.35	6
115.239.226.186	6
110.45.155.101	6
217.10.40.45	6
61.161.144.252	6
206.189.200.15	6
119.97.252.154	6
36.134.155.34	6
106.51.78.188	6
106.12.58.113	6
107.189.11.153	6
168.167.30.198	6
134.122.62.253	6
175.24.103.72	6
107.190.50.59	6
42.248.77.136	6
106.54.180.134	6
82.156.24.211	6
82.65.173.65	6
50.115.168.140	6
106.54.109.29	6
103.60.172.75	6
118.194.233.231	6
113.31.114.128	6
162.232.184.137	6
206.189.132.8	6
104.236.72.182	6
216.106.160.66	6
210.21.226.2	6
116.98.171.81	6
192.227.194.32	6
104.248.1.174	6
71.6.199.23	6
116.255.213.176	6
123.37.4.214	6
49.232.139.137	6
46.249.33.122	6
202.201.13.134	6
49.232.119.202	6
41.33.61.166	6
116.98.165.135	6
149.56.44.47	6
115.186.130.3	6
114.207.244.47	6
195.176.3.24	6
81.25.152.139	6
181.40.76.162	6
89.163.249.192	6
181.30.28.198	6
60.171.208.199	6
167.172.190.11	6
51.210.80.127	6
159.65.224.159	6
202.77.105.98	6
82.156.105.156	6
171.244.18.14	6
149.129.244.83	6
104.131.40.97	6
94.102.49.190	6
94.102.49.193	6
178.128.125.177	6
45.144.225.119	6
185.220.102.245	6
185.220.102.240	6
185.220.102.241	6
185.220.102.243	6
165.22.55.169	6
111.230.203.4	6
103.39.221.85	6
103.60.137.80	6
210.104.112.207	6
58.22.7.74	6
139.155.39.22	6
167.86.71.45	6
187.149.68.191	6
185.110.184.127	6
167.172.145.53	6
117.158.163.235	6
185.3.135.210	6
109.201.133.100	6
72.42.162.79	6
220.130.178.136	6
178.17.174.14	6
190.25.232.106	6
115.238.62.154	6
119.6.89.224	6
200.148.108.181	6
185.83.214.69	6
164.52.24.164	6
192.141.107.58	6
196.38.70.24	6
138.68.64.178	6
136.144.49.245	6
51.81.143.174	6
213.156.55.155	6
89.132.226.36	6
45.240.88.223	6
201.249.89.102	6
157.245.218.29	6
59.124.157.10	6
114.67.68.191	6
139.59.27.92	6
185.220.101.9	6
185.220.101.8	6
185.220.101.3	6
185.220.101.2	6
142.93.179.2	6
111.67.199.186	6
206.189.127.6	6
194.152.206.17	6
23.129.64.155	6
104.248.17.39	6
81.70.233.53	6
185.133.121.25	6
189.254.255.3	6
104.244.72.115	6
186.16.210.34	6
27.64.12.190	6
62.2.162.194	6
154.8.197.29	6
81.6.43.167	6
194.150.88.241	6
189.206.165.62	6
107.161.182.82	6
185.247.225.55	6
45.154.255.147	6
106.38.203.230	6
185.220.101.40	6
121.4.121.147	6
42.193.19.16	6
218.14.208.90	6
81.17.16.111	6
222.186.3.177	6
165.227.182.136	6
139.155.24.93	6
101.69.200.162	6
164.163.99.10	6
91.171.49.41	6
51.15.229.198	6
122.51.53.176	6
93.191.101.219	6
165.227.124.168	6
111.229.4.66	6
42.63.158.253	6
42.192.46.195	6
222.222.31.70	6
165.227.25.154	6
159.65.154.184	6
112.95.225.158	6
222.186.153.230	6
157.230.230.126	6
62.28.222.221	6
182.61.59.14	6
185.247.225.73	6
5.199.143.202	6
211.219.114.52	6
162.247.72.199	6
211.253.133.50	6
111.93.214.67	6
202.96.98.106	6
83.167.57.53	6
104.244.78.183	6
186.4.222.45	6
178.128.206.34	6
192.144.171.119	6
134.122.124.193	6
122.55.209.58	6
45.153.160.129	6
185.220.100.251	6
192.42.116.16	6
112.112.7.202	6
116.110.101.178	6
190.15.222.52	6
167.71.170.179	6
107.189.28.100	6
23.129.64.154	6
178.62.22.142	6
120.48.13.82	6
108.179.219.163	6
14.5.12.34	6
142.93.203.254	6
103.243.143.152	6
94.230.208.148	6
41.234.66.15	6
114.242.245.32	6
89.248.167.131	6
45.173.28.1	6
64.227.8.26	6
91.149.225.131	6
189.89.221.246	6
128.199.2.33	6
47.74.13.129	6
167.99.96.114	6
67.211.208.83	6
62.234.42.165	6
175.207.13.22	6
82.27.120.150	6
42.200.78.78	6
188.254.0.160	6
157.230.41.206	6
111.198.33.54	6
178.128.247.181	6
157.245.13.253	6
174.138.2.29	6
83.12.171.68	6
104.248.149.130	6
81.68.81.31	6
139.198.169.252	6
104.131.231.109	6
106.12.140.168	6
104.248.236.232	6
173.212.12.198	6
162.247.74.204	6
81.177.97.97	6
51.68.214.45	6
119.45.221.79	6
198.144.121.93	6
62.210.107.195	6
91.219.236.197	6
134.209.79.45	6
42.192.231.149	6
107.170.76.103	6
179.184.65.155	6
67.205.128.206	6
49.233.180.38	6
185.31.175.213	6
61.92.148.114	6
45.55.4.4	6
143.244.136.52	6
40.125.214.159	6
23.129.64.147	6
143.110.156.196	6
221.133.1.50	6
159.203.102.122	6
185.45.150.243	6
111.160.100.50	6
138.197.217.164	6
114.111.53.196	6
101.66.172.72	6
103.157.222.129	6
178.128.28.51	6
1.14.175.164	6
164.90.212.168	6
203.119.114.221	6
167.71.74.3	6
200.4.96.34	6
43.226.41.3	6
106.53.156.113	6
128.199.207.45	6
175.107.60.113	6
185.220.103.5	6
142.93.243.95	6
159.65.64.70	6
107.180.102.192	6
142.93.63.231	6
101.231.146.36	6
121.5.166.22	6
173.254.231.114	6
128.199.123.0	6
